restaurant_name,rating,average_price,average _delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,,City
Aditi Baked House,4,50,37,0,0,0,0,0,1,,Ahmedabad
Aditi Kitchen,4,300,40,1,1,0,0,0,0,,Ahmedabad
Aditi Nasto & Chinese,4.1,200,39,0,0,0,1,0,0,,Ahmedabad
Aditi Restaurant,4.1,100,38,1,1,0,0,1,0,,Ahmedabad
Aditri Veg Restaurant,4,150,34,1,1,1,1,0,0,,Ahmedabad
Aditya Family Restaurant and Garden,4.1,150,33,0,1,0,0,1,0,,Ahmedabad
Aditya Foods,3.7,350,29,0,1,1,0,0,0,,Ahmedabad
Aditya Mutton Bhakri,4,300,25,0,0,0,0,0,0,,Ahmedabad
Aditya Restaurant,4.1,150,30,0,1,0,0,0,0,,Ahmedabad
Aditya Sweets,4.1,50,27,0,0,0,0,0,1,,Ahmedabad
Aditya Tiffin service,3.8,300,41,0,1,0,0,0,0,,Ahmedabad
Adya's Multicuisine Restaurant,3.6,100,45,1,1,0,0,0,0,,Ahmedabad
Aelicious Cafe,3.5,150,38,0,0,1,0,0,0,,Ahmedabad
Aerodine Multicuisine Restaurant,3.7,150,35,0,1,1,0,0,0,,Ahmedabad
"Aesthetic’s Nutrition - Healthy Food, Simplified",4.2,250,44,0,0,1,0,0,0,,Ahmedabad
AFC,3.8,200,31,1,0,1,0,1,0,,Ahmedabad
AFC,4.1,200,34,0,0,1,0,0,0,,Ahmedabad
AFC - American Fried Chicken,4,200,33,0,0,1,0,0,0,,Ahmedabad
AFC - American Fried Chicken,4.3,50,37,0,1,1,0,0,0,,Ahmedabad
Afc- Arti Food Court,4.4,200,32,0,1,1,1,0,0,,Ahmedabad
AFC Restaurant,4.1,100,27,0,0,1,0,0,0,,Ahmedabad
Affordabowl,3.8,150,32,0,0,1,0,0,0,,Ahmedabad
Afghan Darbar Restaurant,4,400,31,0,1,0,0,1,0,,Ahmedabad
Afghan Darbar Restaurant,4.4,150,47,0,0,0,0,0,0,,Ahmedabad
Afghani Tandoori Hub,3.4,100,32,0,1,1,1,1,0,,Ahmedabad
Aflatoon Misal,3.3,250,33,0,0,0,1,0,0,,Ahmedabad
Aflatoon Pavbhaji,3.2,50,24,1,1,0,1,0,0,,Ahmedabad
Afra Tafri,4,150,33,0,1,1,0,0,0,,Ahmedabad
Afraa,4.1,250,32,0,1,0,0,1,0,,Ahmedabad
Afraa Deli,4.2,150,48,0,0,0,0,0,0,,Ahmedabad
Afreen - Dine & Delivery,3.9,150,26,0,1,0,0,1,0,,Ahmedabad
Afreen Chicken,3.5,250,24,0,0,0,1,1,0,,Ahmedabad
Afroz's Kitchen,4,100,27,0,1,0,0,1,0,,Ahmedabad
Afsar Bhai Kabab Corner,4.3,300,23,0,0,0,0,0,0,,Ahmedabad
After Class Cafe,3.5,200,56,0,0,1,0,0,0,,Ahmedabad
Afzal,4.1,250,41,0,1,0,0,1,0,,Ahmedabad
Afzal Biryani,4.3,100,45,0,0,0,0,1,0,,Ahmedabad
Afzal Restaurant,4,50,57,0,1,0,0,0,0,,Ahmedabad
AG Ice Cream Parlour,4,50,30,0,0,0,0,0,0,,Ahmedabad
AGA Heritage Club,4.1,250,22,0,1,0,0,0,0,,Ahmedabad
AGAA Heritage,4,200,25,0,1,1,0,1,0,,Ahmedabad
Agadbam,3.3,200,32,0,0,1,1,0,0,,Ahmedabad
Agam Bakers,3.6,100,23,0,0,0,0,0,1,,Ahmedabad
Agarwal Bakers,3.1,100,32,0,0,0,0,0,1,,Ahmedabad
Agarwal Bakery,3.4,200,35,0,0,0,0,0,1,,Ahmedabad
Agarwal Bhel And Chat,3.6,350,31,0,0,1,1,0,0,,Ahmedabad
Agarwal Bhojnalya-Hathras wale,3.8,400,30,0,1,0,0,0,0,,Ahmedabad
Agarwal Cake House,3.9,50,22,0,0,0,0,0,1,,Ahmedabad
Agarwal Caterers,4.4,100,21,0,0,1,1,0,1,,Ahmedabad
Agarwal Chaat Corner,4.4,100,17,0,0,1,1,0,0,,Ahmedabad
Agarwal Chat Bhandhar,4.1,250,24,1,0,0,1,0,0,,Ahmedabad
Agarwal Fast Food Parlour,3.9,150,42,0,0,0,1,0,0,,Ahmedabad
Agarwal Fast Food Pure Veg,4,200,22,0,1,0,0,0,0,,Ahmedabad
Agarwal Food Court,3.9,250,21,1,1,1,1,0,0,,Ahmedabad
Agarwal Mithai Bhandar,4.3,100,28,0,0,0,1,0,0,,Ahmedabad
Agarwal Namkeen Bhandar,3.9,50,20,1,1,1,0,0,0,,Ahmedabad
Agarwal Restaurant Sweets And Dairy,3.8,250,48,1,1,1,0,0,0,,Ahmedabad
Agarwal Snacks,3.3,100,29,0,0,0,1,0,0,,Ahmedabad
Agarwal Sweet & Snacks,3.9,100,32,0,1,0,1,0,0,,Ahmedabad
Agarwal Sweet Palace,4.3,200,30,0,0,1,1,0,0,,Ahmedabad
Agarwal Sweets & Dairy,4,100,51,0,0,0,1,0,0,,Ahmedabad
Agarwal's Kulfi N Roll,4.1,300,19,0,0,0,0,0,0,,Ahmedabad
Agarwal's Pav Bhaji,4.2,150,38,0,0,0,1,0,0,,Ahmedabad
Agarwals The Sweet Shop,3.8,100,28,0,0,1,1,0,0,,Ahmedabad
Aggarwal,3.8,100,32,0,1,0,0,0,0,,Ahmedabad
